CODIGO;FOTO;DESCRIPCION DEL PRODUCTO;ACTIVO;STOCK;
602-6;N/D;FICHA TRIPLE COLORIDO 10/20A;S;220;
1957-6;N/D;FICHA TRIPLE TRAMONTINA 10/20A(57412/920)*48;S;59;
616-3;N/D;FITILLO PLASTICO 12PZ;S;3;
1783-1;N/D;GARRAFA TERMICA EPG127;S;6;
625-5;N/D;GOMA DE EQUIPAJE;S;140;
630-9;N/D;GOMA ELASTICA P/ROPA 8MMX100MTS;S;200;
627-9;N/D;GOMA P/TAPA OLLA DE PRECION 3 Y 4.5LT;S;66;
1325-3;N/D;GOMA P/TAPA OLLA PRECION 5, 7 A 10L;S;21;
628-6;N/D;GOMA P/TAPA OLLA PRECION 5, 7 A 10L;S;43;
629-3;N/D;GOMA PARA CABELLO /AGOGO;S;;
1812-8;N/D;GRAMPA CABLE 10MM KALOP CX 50PZ;S;7;
1813-5;N/D;GRAMPA CABLE 12MM KALOP CX 20PZ;S;5;
1811-1;N/D;GRAMPA CABLE 6MM KALOP CX 50PZ;S;1;
636-1;N/D;GRAMPA CABLE 8MM KALOP CX 100PZ;S;99;
1814-2;N/D;GRAMPA CABLE COAXIAL 6MM KALOP CX 50PZ;S;15;
637-8;N/D;GRAMPA CABLE COAXIAL 8MM KALOP CX 50PZ;S;4;
638-5;N/D;GRAMPA P/PRESILLADORA 106/8MM;S;7;
641-5;N/D;GUANTE ALGODON P/TRABAJO;S;76;
642-2;N/D;GUANTE CORTO CUERO GRIS;S;17;
644-6;N/D;GUANTE ESPORTE SP57701;S;10;
645-3;N/D;GUANTE LARGO CUERO GRIS;S;14;
647-7;N/D;GUANTES GOMA P/TRABAJO;S;291;
657-6;N/D;HILO FERRETERIA N3;S;31;
658-3;N/D;HILO FERRETERIA N4;S;3;
659-0;N/D;HILO FERRETERIA N5;S;31;
660-6;N/D;HILO FERRETERIA N9;S;26;
788-7;N/D;HOJA LIJA AL AGUA A240;S;38;
789-4;N/D;HOJA LIJA AL AGUA A320;S;50;
787-0;N/D;HOJA LIJA AL AGUA A400;S;48;
661-3;N/D;HOJA LIJA AL AGUA T245 GR100 TATU;S;194;
662-0;N/D;HOJA LIJA AL AGUA T245 GR120 TATU;S;200;
663-7;N/D;HOJA LIJA AL AGUA T245 GR150 TATU;S;;
1975-0;N/D;HOJA LIJA DISCO VELCRO 150MM GRANO 120;S;45;
1976-7;N/D;HOJA LIJA DISCO VELCRO 150MM GRANO 600;S;79;
783-2;N/D;HOJA LIJA MASSA/MADERA A100 CARBORUNDUM *50;S;259;
784-9;N/D;HOJA LIJA MASSA/MADERA A120 CARBORUNDUM *50;S;99;
785-6;N/D;HOJA LIJA MASSA/MADERA A150 CARBORUNDUM *50;S;91;
786-3;N/D;HOJA LIJA MASSA/MADERA A180 CARBORUNDUM *50;S;100;
790-0;N/D;HOJA LIJA MASSA/MADERA A60 CARBORUNDUM *50;S;278;
800-6;N/D;HOJA LIJA MASSA/MADERA A80 CARBORUNDUM;S;6;
2050-3;N/D;HOJA LIJA P/HIERRO K296 GRANO 100;S;100;
2051-0;N/D;HOJA LIJA P/HIERRO K296 GRANO 120;S;100;
2052-7;N/D;HOJA LIJA P/HIERRO K296 GRANO 180;S;100;
1966-8;N/D;HOJA LIJA P/HIERRO K296 GRANO 40;S;11;
1967-5;N/D;HOJA LIJA P/HIERRO K296 GRANO 60;S;139;
1968-2;N/D;HOJA LIJA P/HIERRO K296 GRANO 80;S;283;
1972-9;N/D;HOJA LIJA P/MADERA A295 GR50 TATU;S;17;
1973-6;N/D;HOJA LIJA P/MADERA A295 GR60 TATU;S;35;
1974-3;N/D;HOJA LIJA P/MADERA A295 GR80 TATU;S;22;
1971-2;N/D;HOJA LIJA P/ORMIGON A293 GRANO 150;S;130;
1969-9;N/D;HOJA LIJA P/ORMIGON A293 GRANO 50;S;134;
1970-5;N/D;HOJA LIJA P/ORMIGON A293 GRANO 60;S;64;
665-1;N/D;HOJA SIERRA 24DX50 NICHOLSON;S;168;
1782-4;N/D;HOPPIE DE ACERO INOXIDABLE EPG001;S;1;
666-8;N/D;HOPPIE ECOPOWER 650ML;S;1;
669-9;N/D;HOPPIE TERMICA 1900ML C/VASO;S;1;
670-5;N/D;HOPPIE TERMICA 540ML C/VASO;S;18;
674-3;N/D;ILUMINADOR LIGHT GREEN P/PESCA 3.0MMX20M;S;72;
2012-1;N/D;JABON KLIP EN POLVO ALOE VERA 1KGX12;S;14;
2015-2;N/D;JABON KLIP EN POLVO ALOE VERA 500KGX20;S;20;
2011-4;N/D;JABON KLIP EN POLVO ORIGINAL 1KGX12;S;58;
2014-5;N/D;JABON KLIP EN POLVO ORIGINAL 500KGX20;S;50;
2013-8;N/D;JABON KLIP EN POLVO PERF. INTENSO 1GX12;S;40;
2016-9;N/D;JABON KLIP EN POLVO PERF.INTENSO 500GX20;S;59;
684-2;N/D;JABONERA 72x1;S;48;
1983-5;N/D;JARRA CON TAPA 1.5LT (420);S;3;
1989-7;N/D;JARRA CON TAPA 2.7LT (417);S;17;
1887-6;N/D;JARRA CON TAPA 2LT (1033);S;3;
685-9;N/D;JARRA ELECTRICA INOX 1.8LT 1500W;S;25;
686-6;N/D;JARRA ELECTRICA PLAST NEGRO 2.3LTS;S;2;
1915-6;N/D;JOGO ASADERA CUADRADA 4PZ (16567);S;3;
1914-9;N/D;JOGO ASADERA REDONDA 3PZ (13618);S;2;
1916-3;N/D;JOGO CACEROLA COLORIDO 4PZ (14988);S;1;
2056-5;N/D;JOGO CAFE 3PZ (11907);S;5;
1917-0;N/D;JOGO OLLA 3PZ (13545);S;1;
1918-7;N/D;JOGO SARTENE 5PZ (11909);S;1;
1922-4;N/D;JOGO TAZA PORCELANA 8.8X7 (16658);S;46;
2034-3;N/D;JUEGO CERRADURA ELECTRICA P/PORTA HIERRO;S;1;
689-7;N/D;JUEGO CERRADURA PUERTA BANO ALZ-2800/41(LLEVE FIJA);S;6;
690-3;N/D;JUEGO CERRADURA PUERTA EXT. ALZ-2600/41;S;9;
691-0;N/D;JUEGO CERRADURA PUERTA INT. ALZ-2700/41;S;;
709-2;N/D;JUEGO SOPORTE P/CORTINA SIMP. 1.50MT CEREJA;S;14;
1865-4;N/D;KIT ACOPLE P/MANGUERA PABOVI;S;20;
717-7;N/D;KIT AGUJA COSER;S;72;
718-4;N/D;KIT AUTO PLUG TL39753;S;20;
702-3;N/D;KIT LAVADERA TENEDERO C/3PZ;S;69;
720-7;N/D;KIT TERERE AZUL 2L;S;12;
721-4;N/D;KIT TERERE CROMO 2L;S;7;
722-1;N/D;KIT TERERE ROJO 2L;S;8;
723-8;N/D;KIT TERERE ROSA 2L;S;13;
724-5;N/D;KIT TERERE VERDE 2L;S;7;
1810-4;N/D;KIT TORNILLO PARA INODORO *20;S;310;
753-5;N/D;LAMPARA LED ECO EMPALUX 10W;S;230;
754-2;N/D;LAMPARA LED ECO EMPALUX 12W;S;328;
755-9;N/D;LAMPARA LED ECO EMPALUX 15W;S;287;
761-0;N/D;LAMPARA MIXTA LUXEP 500W E40;S;11;
776-4;N/D;LAMPARA TUBO FLORE. LED C/BASE LUXEP 18w BL;S;3;
778-8;N/D;LAMPARA TUBO FLUOR. LED PHILIPS 8w/18w BL.;S;32;
779-5;N/D;LAMPARA TUBO FLUOR. PHILIPS 18w TLD/54 BL.;S;48;
780-1;N/D;LAMPARA TUBO FLUOR. PHILIPS 36w TLD/54 BL.;S;17;
781-8;N/D;LAPIZ CARPINTEIRO;S;794;
1885-2;N/D;LATONA PLAST. CANELADA 750ML;S;;
1906-4;N/D;LATONA PLAST. LISA 1,2LT (16881);S;30;
1886-9;N/D;LATONA PLAST. LISA 2LIT.;S;63;
1835-7;N/D;LATONA PLASTICA 30 LITROS;S;39;
1836-4;N/D;LATONA PLASTICO 15LITROS;S;14;
843-3;N/D;LICUADORA 1.5LT 250W C/TRITURADOR UTILUX;S;2;
782-5;N/D;LICUADORA 1.5LT 300WX220V 4VL LUXEP;S;;
818-1;N/D;"LIMA PLANA P/AZADA 8"" BELLOTA C/MANGO";S;70;
2038-1;N/D;"LIMA PLANA P/AZADA 8"" NICHOLSON S/MANGO";S;21;
2045-9;N/D;"LIMA PLANA P/AZADA 8"" S/MANGO (40558)";S;24;
2092-3;N/D;"LIMA REDONDA P/MOTOSIERRA 4.8"" NICHOLSON";S;24;
811-2;N/D;LIMA REDONDA P/MOTOSIERRA 4.8MM BELLOTA;S;-6;
812-9;N/D;LIMA REDONDA P/MOTOSIERRA 5.5MM BELLOTA;S;;
819-8;N/D;"LIMA TRIANGULAR FINA 4""";S;11;
825-9;N/D;LINEA TRIUNFO 0,30;S;28;
826-6;N/D;LINEA TRIUNFO 0,40;S;16;
1801-2;N/D;LINEA TRIUNFO 0,50;S;16;
827-3;N/D;LINEA TRIUNFO 0,60;S;24;
833-4;N/D;LINTERNA C/ASA RECARGABLE 1W+8W;S;7;
834-1;N/D;LINTERNA DE CHOQUE SP60170;S;1;
1939-2;N/D;LINTERNA LUXEP BLIST. XY-858 5 LED RECARGABLE (12822);S;63;
1938-5;N/D;"LINTERNA LUXEP C/GOMA PILA TIPO AA""(12825)";S;40;
1937-8;N/D;"LINTERNA LUXEP C/GOMA PILA TIPO D""(12823)";S;12;
1936-1;N/D;"LINTERNA LUXEP XJ-191 1 LED PILA TIPO D""(12824)";S;;
841-9;N/D;LINTERNA MULTIFUNCION SP60167;S;1;
846-4;N/D;LLANA LISA METALICA;S;6;
849-5;N/D;LLANA PLASTICA P/TEXTURA 16X80 ATLAS;S;15;
1935-4;N/D;LLAVE ALEN 9PZ (TL33584);S;33;
1038-2;N/D;LLAVE EXTERNO CREMA 1 PICO;S;75;
864-8;N/D;LLAVE MIXTA CON RACHET 12MM;S;4;
865-5;N/D;LLAVE MIXTA CON RACHET 13MM;S;8;
866-2;N/D;LLAVE MIXTA CON RACHET 14MM;S;2;
867-9;N/D;LLAVE MIXTA CON RACHET 17MM;S;2;
868-6;N/D;LLAVE MIXTA CON RACHET 8MM;S;1;
869-3;N/D;LLAVE MIXTA CON RACHT 11MM;S;;
1986-6;N/D;LLAVE PASO PLASTICA 20MM DUKE-TITAN;S;13;
2030-5;N/D;LLAVE PASO PLASTICA 20MM TIGRE;S;22;
902-7;N/D;LLAVE PASO PLASTICA 25MM TIGRE;S;12;
1965-1;N/D;LLAVE PASO PLASTICA 40MM TIGRE *5;S;10;
888-4;N/D;LLAVE TM DIN 1X10A SICA;S;22;
889-1;N/D;LLAVE TM DIN 1X15A SICA;S;9;
890-7;N/D;LLAVE TM DIN 1X20A SICA;S;118;
891-4;N/D;LLAVE TM DIN 1X25A SICA;S;15;
892-1;N/D;LLAVE TM DIN 1X32A SICA;S;;
893-8;N/D;LLAVE TM DIN 1X40A SICA;S;29;
894-5;N/D;LLAVE TM DIN 1X50A SICA;S;19;
896-9;N/D;LLAVE TM DIN 3X20A SICA;S;19;
897-6;N/D;LLAVE TM DIN 3X25A SICA;S;19;
899-0;N/D;LLAVE TM DIN 3X40A SICA;S;19;
1934-7;N/D;LLAVE TORQ 9PZ (TL33583);S;15;
905-8;N/D;"MACHETE 12"" CORNETA";S;9;
906-5;N/D;MACHETE YACARE 62CM TL33734;S;11;
2019-0;N/D;MACHETE YACARE M/DE GOMA BELLOTA 1778NB;S;8;
2020-6;N/D;MACHETE YACARE M/DE MADERA BELLOTA 1778;S;8;
2071-8;N/D;MANGO PARA RODILLO 23CM COMPEL;S;15;
1802-9;N/D;MANGUERA C/ PICO HECHO 10MTS;S;;
1846-3;N/D;MANGUERA C/ PICO HECHO 25MTS;S;-6;
1847-0;N/D;MANGUERA ECONOMICA 1/2 100MT;S;1;
920-1;N/D;MANGUERA PARA INFLADOR;S;32;
923-2;N/D;MARMITA 3PC PLASTICO 22947;S;;
926-3;N/D;MARTILLO 350GR TL39900;S;20;
928-7;N/D;MARTILLO DE GOMA 60MM;S;3;
925-6;N/D;MARTILLO MANGO GOMADO 27CM (TL40099);S;19;
1816-6;N/D;MASCARILLA RESPIR. C/FILTRO PFF2V;S;58;
929-4;N/D;MASCARILLA RESPIR. PFF2-S N95 AZUL;S;121;
934-8;N/D;MECHA ACERO 10MM ECON.;S;28;
935-5;N/D;MECHA ACERO 12MM ECON. TL41653;S;21;
1868-5;N/D;MECHA ACERO 2,50MM IRWIN;S;6;
1960-6;N/D;MECHA ACERO 4MM ECON.;S;13;
1869-2;N/D;MECHA ACERO 4MM IRWIN;S;36;
937-9;N/D;MECHA ACERO 6MM ECON.TL41621;S;10;
936-2;N/D;MECHA ACERO 6MM IRWIN(IW1258);S;15;
2044-2;N/D;MECHA ACERO 8.5MM ECON.;S;30;
939-3;N/D;MECHA ACERO 8MM ECON.;S;13;
938-6;N/D;MECHA ACERO 8MM IRWIN(IW1282);S;14;
942-3;N/D;MECHA CONCRETO 10MM ECON.;S;39;
941-6;N/D;MECHA CONCRETO 10MM IRWIN(IW910);S;21;
945-4;N/D;MECHA CONCRETO 6MM ECON.(TL41599);S;18;
944-7;N/D;MECHA CONCRETO 6MM IRWIN(IW904);S;21;
947-8;N/D;MECHA CONCRETO 8MM ECON.(TL41601);S;22;
946-1;N/D;MECHA CONCRETO 8MM IRWIN(IW910);S;19;
948-5;N/D;MECHA MADERA 10MM ECON.;S;9;
951-5;N/D;MECHA MADERA 6MM ECON.;S;29;
1990-3;N/D;MECHA MADERA 7MM ECON.(TL41593);S;29;
953-9;N/D;MECHA MADERA 8MM ECON.;S;4;
1851-7;N/D;MEMORIA 16GB ECOPOWER;S;24;
2017-6;N/D;MOLINO DE CARNE N10 CHINO;S;2;
2018-3;N/D;MOLINO DE CARNE N12 CHINO;S;4;
966-9;N/D;MOLINO DE CARNE N8 CHINO;S;;
970-6;N/D;NAFTALINA PQ/20GR;S;2;
971-3;N/D;"NIVEL CON IMA 24"" POLEGADA";S;7;
1872-2;N/D;NIVEL CON IMA 30CM;S;6;
975-1;N/D;NIVEL NIVELADOR A LASER;S;6;
976-8;N/D;"NIVEL TORPEDO 9"" TL41706";S;7;
1808-1;N/D;OLLA PRECION 3LT PULIDA (18692);S;3;
1804-3;N/D;OLLA PRECION 4,5LT LILA (18674);S;20;
1806-7;N/D;OLLA PRECION 4,5LT NEGRO (18677);S;9;
1807-4;N/D;OLLA PRECION 4,5LT ROJO (18681);S;13;
1805-0;N/D;OLLA PRECION 4,5LT ROSA (18675);S;7;
1803-6;N/D;OLLA PRECION 4,5LT VERDE (18673);S;7;
978-2;N/D;ORGANIZADOR METAL MULTIUSO 1/A;S;;
1837-1;N/D;PALITA DE MANO P/BASURA PLAST;S;5;
2089-3;N/D;PALITA P/BASURA C/MANGO PLASTICO 835;S;26;
982-9;N/D;PALITA PARA BASURA C/MANGO MADERA;S;-2;
984-3;N/D;PALITERO PLASTICO DE MESA;S;68;
987-4;N/D;PAP. HIG. INSTIT. PREMIO FARD. C/8 ROLLO DE 300MTSX10CM;S;7;
988-1;N/D;PAP. SERVILHETA JAZMIN FARD. C/12 PQT 50 UND DE 20X22,5CM;S;3;
989-8;N/D;PAP. SERVILHETA NINFA FARD. C/20 PQT 80 UND DE 20X22,5CM;S;4;
2107-4;N/D;PAP.HIG.JASMIN CLASICO FARD/12X4ROLLO 30X10CM;S;;
2108-1;N/D;PAP.HIG.JASMIN PREM. NEUTRO FARD/12X4ROLLO 30X10CM;S;;
2110-4;N/D;PAP.HIG.JASMIN PREM. NEUTRO FARD/6X8ROLLO 50X10CM;S;;
2109-8;N/D;PAP.HIG.JASMIN PREM. PERF.FARD/12X4ROLLO 30X10CM;S;;
2106-7;N/D;PAP.HIG.JAZMIN ECO FARD/12X4ROLLO 30X10CM;S;;
2112-8;N/D;PAP.SERVILHETA JAZMIN FARD.C/12X50UND 30X29,5CM;S;;
2111-1;N/D;PAP.TOALHA JAZMIN CLASICO FARD/12X2ROLLO;S;;
1788-6;N/D;PAPEL HIG. DUETTO DOBLE HOJA NEUT 16X4 (16025);S;65;
1999-6;N/D;PAPEL HIG. DUETTO DOBLE HOJA NEUT. 6X12 (16069);S;8;
1789-3;N/D;PAPEL HIG. DUETTO DOBLE HOJA PERF.16X4 (16026);S;27;
2000-8;N/D;PAPEL HIG. DUETTO DOBLE HOJA PERF.6X12 (16068);S;20;
2114-2;N/D;PAPEL HIG. NINFA NATURAL FARD/12X4ROLLO 25X9CM;S;;
2113-5;N/D;PAPEL HIG. NINFA TRADICIONAL FARD/12X4ROLLO 25X9CM;S;;
990-4;N/D;PAPEL HIG. SIRIUS 16PQT X 4RL X 30M (6912);S;63;
991-1;N/D;PAPEL HIG. SIRIUS 16PQT X 4RL X 60M (6914);S;46;
992-8;N/D;PAPEL HIG. SIRIUS 4PQT X 12RL X 60M (6916);S;54;
993-5;N/D;PAPEL HIG. SIRIUS 4PQT X 16RL X 60M (6815);S;18;
994-2;N/D;PAPEL HIG. SIRIUS 8PQT X 8RL X 30M (6913);S;42;
2067-1;N/D;PAPEL HIG. SIRIUS 8PQT X 8RL X 60M (6917);S;35;
995-9;N/D;PAPEL SERVILLETA SIRIUS 23X23CM 24PQT/CJ (6919);S;;
996-6;N/D;PAPEL TOALLA SIRIUS CHEF 20X20 12PQT X 2RL X 50 HOJAS (24811);S;-3;
2087-9;N/D;PAPEL TOALLA SIRIUS CHEF 20X20X4PQTX6RLX50 HOJAS (24811);S;17;
1002-3;N/D;PARCHE P/CAMARA R-01;S;389;
1003-0;N/D;PARCHE P/CAMARA R-02;S;160;
1004-7;N/D;PARCHE P/CAMARA R-03;S;55;
1005-4;N/D;PARCHE P/CUBIERTA VC 01;S;12;
1006-1;N/D;PARCHE P/CUBIERTA VD 02;S;22;
1007-8;N/D;PARCHE P/CUBIERTA VD 03;S;10;
1008-5;N/D;PARCHE P/CUBIERTA VD 04;S;17;
1009-2;N/D;PARCHE P/CUBIERTA VD 05;S;13;
1010-8;N/D;PARCHE P/CUBIERTA VD 06;S;14;
1440-3;N/D;PARCHE REFIL S/CAMARA RUIZ ISEAL TARUGO;S;159;
1011-5;N/D;PASSADOR MARIPOZA 1.1/2 *;S;;
1016-0;N/D;PASTINA BAUTECH NEGRO;S;3;
1017-7;N/D;PEINE DE BOLSILLO COLOR;S;95;
1019-1;N/D;PEINE FINO;S;111;
1020-7;N/D;PELADOR DE PAPAS;S;;
1022-1;N/D;PICO CIEGO BELGE;S;;
1039-9;N/D;PICO LLAVE PUNTO SIMPLES;S;48;
1879-1;N/D;PICO TOMA SIMPLE BLANCO SICA;S;100;
1065-8;N/D;PICO TOMA SIMPLES BLANCO 15A(245573);S;193;
1845-6;N/D;PICO TOMA SIMPLES GREMA 15A;S;74;
2082-4;N/D;PILETA CUBA INOX C/ACCESORIOS 100X50X18;S;7;
1981-1;N/D;PILETA DUPLA INOX C/ACCESORIOS 120X50X10;S;5;
1897-5;N/D;PILLA ALCALINA 23A 12V 5PZ;S;2;
159-5;N/D;PILLA BATTERY 6F22MM 9V (EP29788);S;27;
1071-9;N/D;PILLA MEDIA AAAX4 R03 1.5V SAFARIMAX(EP30600);S;5;
1073-3;N/D;PILLA PALITO AAX4 ALKALINA DURACEL;S;13;
1070-2;N/D;PILLA PALITO AAX4 R6 1.5V SAFARIMAX(EP30599);S;13;
1083-2;N/D;PINCEL TIGRE AZUL 0-1/2;S;10;
1084-9;N/D;PINCEL TIGRE AZUL 0-3/4;S;26;
1085-6;N/D;PINCEL TIGRE AZUL 1-0/0;S;10;
1086-3;N/D;PINCEL TIGRE AZUL 1-1/2;S;28;
1087-0;N/D;PINCEL TIGRE AZUL 2-0/0;S;7;
1088-7;N/D;PINCEL TIGRE AZUL 2-1/2;S;28;
1096-2;N/D;PINTURA ADORNO RUPESTRE 18LT RESICOLOR P/MAS-4321;S;2;
1097-9;N/D;PINTURA ALEGRIA 18LT RESICOLOR P/MAS-0003;S;3;
1099-3;N/D;PINTURA AMARILLO FREVO 3.6LT RESICOLOR P/MAS-0020;S;5;
1100-6;N/D;PINTURA AMARILLO ORO 3.6LT RESICOLOR P/MAS-2959;S;1;
1101-3;N/D;PINTURA AMARILLO TREVO 18LT RESICOLOR P/MAS-0030;S;2;
1104-4;N/D;PINTURA AZUL ARPOADOR 18LT RESICOLOR P/MAS-3009;S;2;
1110-5;N/D;PINTURA AZUL PROFUNDO 3.6LT RESICOLOR P/MAS-2941;S;3;
1112-9;N/D;PINTURA BLANCO 3.6LT RESICOLOR P/MAS-2963;S;1;
1116-7;N/D;PINTURA CAF 18LT RESICOLOR P/MAS-3007;S;3;
1117-4;N/D;PINTURA CAF 3.6LT RESICOLOR P/MAS-2944;S;2;
1118-1;N/D;PINTURA CARDINAL 18LT RESICOLOR P/MAS-3103;S;2;
1129-7;N/D;PINTURA COLORANTE LIQUIDO RESITOK 50ML AMARILLO-9328;S;48;
1130-3;N/D;PINTURA COLORANTE LIQUIDO RESITOK 50ML AZUL-9326;S;40;
1131-0;N/D;PINTURA COLORANTE LIQUIDO RESITOK 50ML NEGRO-9323;S;65;
1132-7;N/D;PINTURA COLORANTE LIQUIDO RESITOK 50ML ROJO-9330;S;7;
1133-4;N/D;PINTURA COLORANTE LIQUIDO RESITOK 50ML VERDE-9325;S;19;
1134-1;N/D;PINTURA COLORANTE LIQUIDO RESITOK 50ML VIOLETA-3355;S;31;
1142-6;N/D;PINTURA COLORANTE POLVO XADREZ AMARILLO 500G;S;15;
1143-3;N/D;PINTURA COLORANTE POLVO XADREZ AZUL 500G;S;2;
1145-7;N/D;PINTURA COLORANTE POLVO XADREZ NEGRO 500G;S;20;
1146-4;N/D;PINTURA COLORANTE POLVO XADREZ ROJO 500G;S;29;
1147-1;N/D;PINTURA COLORANTE POLVO XADREZ VERDE 500G;S;6;
1148-8;N/D;PINTURA CONCRETO 18LT RESICOLOR P/MAS-3036;S;1;
1149-5;N/D;PINTURA CONCRETO 3.6LT RESICOLOR P/MAS-2971;S;2;
1150-1;N/D;PINTURA CROMO SUAVE 18LT RESICOLOR P/MAS-2994;S;2;
1151-8;N/D;PINTURA DURAZNO 3.6LT RESICOLOR P/MAS-2969;S;2;
1155-6;N/D;PINTURA HELO 3.6LT RESICOLOR P/MAS-1949;S;2;
1156-3;N/D;PINTURA LILAS 18LT RESICOLOR P/MAS-001;S;2;
1158-7;N/D;PINTURA MARFIL 18LT RESICOLOR P/MAS-2987;S;3;
1162-4;N/D;PINTURA NARANJA MARACATU 18LT RESICOLOR P/MAS-0015;S;2;
1163-1;N/D;PINTURA NARANJA MARACATU 3.6LT RESICOLOR P/MAS-4322;S;1;
1168-6;N/D;PINTURA PALHA 18LT RESICOLOR P/MAS-2989;S;1;
1169-3;N/D;PINTURA PALHA 3.6LT RESICOLOR P/MAS-2933;S;2;
1170-9;N/D;PINTURA PERLA 18LT RESICOLOR P/MAS-2988;S;2;
1171-6;N/D;PINTURA PESSEGO 18LT RESICOLOR P/MAS-3034;S;2;
1177-8;N/D;PINTURA TERRECOTA 3.6LT RESICOLOR P/MAS-2964;S;2;
1178-5;N/D;PINTURA VERDE BOSQUE 18LT RESICOLOR P/MAS-3008;S;1;
1179-2;N/D;PINTURA VERDE BOSQUE 3.6LT RESICOLOR P/MAS-2950;S;4;
1180-8;N/D;PINTURA VERDE LIMON 18LT RESICOLOR P/MAS-3041;S;1;
1184-6;N/D;"PINZA CORTE DIAGONAL 6"" CH";S;5;
1189-1;N/D;"PINZA DE PRESION 4"" Y 5"" BLISTER 2PC";S;21;
1191-4;N/D;PINZA P/CEJAS COLORIDA;S;21;
1192-1;N/D;PINZA P/CEJAS METAL *12;S;43;
1195-2;N/D;PINZA PARA PELO /PIRANA;S;109;
1197-6;N/D;"PINZA TENAZA 7""";S;203;
1200-3;N/D;"PINZA UNIVERSAL 8"" (TL31091)";S;9;
1202-7;N/D;"PINZA UNIVERSAL 8"" SAFARIMAX";S;8;
1210-2;N/D;PIOLOIN NYLON P/TENDEDERO 15MT;S;18;
1213-3;N/D;PISTOLA SILICONA GR;S;11;
1214-0;N/D;PISTOLA SILICONA PQ;S;26;
1881-4;N/D;PITON ABIERTO GALV. 16CH.144;S;100;
1216-4;N/D;PITON ABIERTO GALV. P/BUJA 6MM;S;318;
1217-1;N/D;PITON ABIERTO GALV. P/BUJA 8MM;S;52;
1215-7;N/D;PITON ABIERTO GALV. PARA BUJA 10MM;S;165;
1220-1;N/D;PITON CERRADO PARA BUJA 10MM;S;;
1219-5;N/D;PITON L GALV. PARA BUJA 8MM;S;-14;
1225-6;N/D;PLACA 2 MODULO;S;100;
1234-8;N/D;PLACA TRES MODULO 12X8 BLANCO;S;19;
1883-8;N/D;PLATO ENLOZADO N.20;S;6;
1237-9;N/D;PLATO P/MASCOTA;S;;
1903-3;N/D;PLATO PORCELA C/DISENO N.9 (16699);S;;
1902-6;N/D;PLATO PORCELA N.9 (16666);S;4;
1890-6;N/D;PLATO PORCELA PLAYO N.9;S;42;
2100-5;N/D;PLOMADA P/PESCA OLIVA NO.02 1KG;S;4;
2101-2;N/D;PLOMADA P/PESCA OLIVA NO.03 1KG;S;4;
2102-9;N/D;PLOMADA P/PESCA REDONDA NO.02 1KG;S;4;
2103-6;N/D;PLOMADA P/PESCA REDONDA NO.03 1KG;S;4;
2104-3;N/D;PLOMADA P/PESCA REDONDA NO.05 1KG;S;3;
2105-0;N/D;PLOMADA P/PESCA REDONDA NO.07 1KG;S;3;
1246-1;N/D;PORTA FOCO BASE DISCO LUXEP;S;;
1247-8;N/D;PORTA FOCO DE CERAMICA;S;200;
1254-6;N/D;PORTA FOCO NEGRA C/CABLE;S;83;
1255-3;N/D;PORTA FOCO SIMPLES BLANCO;S;12;
1852-4;N/D;PORTA FOCO SIMPLES CREMA;S;147;
1253-9;N/D;PORTA FOCO SIMPLES NEGRO;S;38;
1261-4;N/D;PQ-ABRAZ.PRECINTA NEG. 3.6X150MM 50PZ;S;23;
1258-4;N/D;PQ-ABRAZADERA METAL 1/2 2PZ;S;8;
1259-1;N/D;PQ-ABRAZADERA METAL 3/4 2PZ;S;1;
1260-7;N/D;PQ-ABRAZADERA METAL TIPO U 3/4 2PZ;S;45;
1262-1;N/D;PQ-ABRIDOR 3EN1 MULTIFUNCIONAL;S;9;
1263-8;N/D;PQ-ADAPTADOR ACOPLE 1/2 P/MANGUERA;S;13;
1264-5;N/D;PQ-ADAPTADOR LANZARRIEGO FAMASTIL P/MANGUERA;S;5;
1265-2;N/D;PQ-ADAPTADOR LANZARRIEGO TRAMONTINA P/MANGUERA;S;13;
1266-9;N/D;PQ-ADAPTADOR UNION 1/2 P/MANGUERA;S;46;
82-6;N/D;PQ-ALARGUE 5 TOMA 5MTS HECHO;S;-4;
1267-6;N/D;PQ-ALARGUE PROLONGADOR 3MTS HECHO;S;-1;
1268-3;N/D;PQ-ALARGUE PROLONGADOR 5MTS HECHO;S;18;
1270-6;N/D;PQ-ALMA DOBLE ROSCA 1/2;S;31;
1271-3;N/D;PQ-ALMA DOBLE ROSCA 3/4;S;23;
1272-0;N/D;PQ-BARAJA ESPANOL 8.5X12,30M;S;9;
1273-7;N/D;"PQ-BISAGRA REFORZADA ""2""";S;44;
1274-4;N/D;"PQ-BISAGRA REFORZADA ""3""";S;42;
1275-1;N/D;PQ-BISAGRA REFORZADA 1.1/2;S;6;
2035-0;N/D;PQ-BOMBILLA CROMO LISA 14CM;S;14;
1276-8;N/D;PQ-BOMBILLA LISA INOX C04 19CM;S;14;
1279-9;N/D;PQ-CABLE DE ALIMENTACION;S;71;
1280-5;N/D;PQ-CANDADO HONG/SAFAR.25MM;S;37;
1281-2;N/D;PQ-CANDADO HONG/SAFAR.30MM;S;24;
1282-9;N/D;PQ-CANDADO HONG/SAFAR.40MM;S;10;
286-8;N/D;PQ-CANDADO HONG/SAFAR.50MM;S;-3;
