CODIGO;FOTO;DESCRIPCION DEL PRODUCTO;ACTIVO;STOCK;
1800-5;N/D;ANZUELO 1971N 8/0 CARBON STEEL 50PZ;S;2;
105-2;N/D;ANZUELO 4330 1/0 SUPER STROG 100PZ;S;2;
106-9;N/D;ANZUELO 4330 10 SUPER STROG 100PZ;S;4;
2054-1;N/D;ANZUELO 4330 10/0 SUPER STROG 500PZ;S;3;
107-6;N/D;ANZUELO 4330 14 SUPER STROG 100PZ;S;5;
111-3;N/D;ANZUELO 4330 2/0 SUPER STROG 100PZ;S;4;
112-0;N/D;ANZUELO 4330 4 SUPER STROG 100PZ;S;4;
113-7;N/D;ANZUELO 4330 5/0 SUPER STROG 100PZ;S;4;
108-3;N/D;ANZUELO 4330 6 SUPER STROG 100PZ;S;4;
114-4;N/D;ANZUELO 4330 8 SUPER STROG 100PZ;S;3;
1799-2;N/D;ANZUELO 4330-1 SUPER STROG 100PZ;S;2;
1797-8;N/D;ANZUELO MARUSEIGO N14- 100PZ;S;6;
1798-5;N/D;ANZUELO MARUSEIGO N16- 100PZ;S;9;
125-0;N/D;ARANDELA LISA ALG 1/4 ZB (7X17X1.2);S;1076;
2039-8;N/D;ARANDELA LISA ALG 3/16 ZB;S;876;
126-7;N/D;ARANDELA LISA ALG 5/16 ZB (8,2X20.5X1.2);S;792;
2040-4;N/D;ARANDELA PRECION 127B M10;S;830;
127-4;N/D;ARANDELA PRECION 127B M12;S;1390;
2042-8;N/D;ARANDELA PRECION 127B M6;S;1180;
2041-1;N/D;ARANDELA PRECION 127B M8;S;830;
130-4;N/D;ARGAMASSA HIPERMASSA 20KG PERSOLLITE;S;75;
1932-3;N/D;ASPIRADOR PORTATIL P/POLVO 12V (AT7066);S;3;
1854-8;N/D;BALANZA DIGITAL 10KG;S;9;
2022-0;N/D;BALANZA ROMANA 100GR;S;;
1817-3;N/D;BALANZA ROMANA 12KG;S;3;
150-2;N/D;BALANZA ROMANA 25KG;S;31;
1818-0;N/D;BALANZA ROMANA 50KG;S;10;
1834-0;N/D;BALDE 15 LITROS (936);S;18;
1833-3;N/D;BALDE 7LITROS CINZA (937);S;9;
151-9;N/D;BALDE ALBANIL 7 LITROS NEGRO;S;40;
155-7;N/D;BARAJA ESPANOL 8.5X12,30M *12;S;;
1911-8;N/D;BATIDORA 7 VEL. C/BOWEL (15025);S;3;
160-1;N/D;BATTERY ALKALINE 1.55V AG10 10PZ;S;8;
161-8;N/D;BATTERY ALKALINE 1.55V AG13 10PZ;S;6;
162-5;N/D;BATTERY ALKALINE 1.55V AG3 10PZ;S;6;
163-2;N/D;BATTERY CR1216 3V 5PZ;S;15;
164-9;N/D;BATTERY CR1220 3V 5PZ;S;6;
165-6;N/D;BATTERY CR1616 3V 5PZ;S;7;
166-3;N/D;BATTERY CR1620 3V 5PZ;S;5;
167-0;N/D;BATTERY CR1632 3V 5PZ;S;11;
168-7;N/D;BATTERY CR2016 3V 5PZ;S;7;
169-4;N/D;BATTERY CR2025 3V 5PZ;S;7;
170-0;N/D;BATTERY CR2032 3V 5PZ;S;7;
171-7;N/D;BATTERY CR927 3V 5PZ;S;6;
174-8;N/D;BEBEDERO ROSCABLE 5 LT POLLOS BEMAC;S;15;
175-5;N/D;BEBEDERO ROSCABLE 5 LT POLLOS CRISAN;S;16;
173-1;N/D;BEBEDERO ROSCABLE PLASTICO 2LT (415/432);S;21;
177-9;N/D;BINOCULO 10X SP37813;S;2;
180-9;N/D;"BISAGRA REFORZADA ""2""";S;182;
181-6;N/D;"BISAGRA REFORZADA ""3""";S;200;
182-3;N/D;"BISAGRA REFORZADA ""4""";S;136;
183-0;N/D;BISAGRA REFORZADA 1.1/2;S;200;
184-7;N/D;BOMBILLA CROMO C/ANILLO 19CM (539);S;190;
2047-3;N/D;BOMBILLA CROMO LISA 14CM (596)*12;S;341;
185-4;N/D;BOMBILLA CROMO LISA 19CM (531)*12;S;129;
186-1;N/D;BOQUILLA RIEGO FAMASTIL P/MANGUERA;S;122;
187-8;N/D;BOQUILLA RIEGO P/MANGUERA CHINO;S;10;
188-5;N/D;BOQUILLA RIEGO TRAMONTINA P/MANGUERA;S;5;
1790-9;N/D;BOTON N14 4 AGUJEROS COLORES V *50;S;16;
1791-6;N/D;BOTON N18 4 AGUJEROS COLORES V *50;S;32;
1792-3;N/D;BOTON N22 4 AGUJEROS COLORES V *50;S;44;
1901-9;N/D;BOWL PORCELANA 1LT (16663);S;30;
1899-9;N/D;BOWL PORCELANA 500ML (16661);S;56;
1900-2;N/D;BOWL PORCELANA 800ML (16662);S;74;
198-4;N/D;BROCHA P/PINTURA RETANGULAR 14X58CM MAX;S;9;
210-3;N/D;CABLE DE ALIMENTACION *;S;74;
208-0;N/D;CABLE ELECT.CORDON 2X0.75MM*100 BL.IMPACO;S;1107;
212-7;N/D;CABLE MICRO V8+IPHONE+TYPE-C 2A/1M BLANCO;S;51;
239-4;N/D;CABLE TYPE-C 2A/1M;S;19;
1826-5;N/D;CACEROLA 20 LT *;S;5;
1907-1;N/D;CACEROLA 24 (12501);S;5;
2090-9;N/D;CAJA AGRICULA 48L 19214;S;15;
246-2;N/D;CAJA CONEXCION 3X3 NARANJA REDONDO TIGRE(33043147)*12;S;26;
250-9;N/D;CAJA LLAVE 4X2 PLASTICA NARANJA TIGRE(33043570)*24;S;32;
